Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. nach � 24 II EuWO;Wahlb. insges.;W�hler;dav. mit Wahlschein;Ung�lt. Stimmen;G�ltige Stimmen;CDU;SPD;GR�NE;AfD;FDP;DIE LINKE;FREIE W�HLER;PIRATEN;Tierschutzpartei;�DP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;B�ndnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;�koLinX;Die Humanisten;PARTEI F�R DIE TIERE;Gesundheitsforschung;VOLT
308;Sporthalle Gr�newaldschule A  ;830;116;0;946;366;0;3;363;86;59;67;65;23;13;6;3;3;5;2;7;2;0;0;3;0;0;2;1;1;5;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;1;1;3
309;Sporthalle Gr�newaldschule B  ;771;91;0;862;302;0;7;295;68;51;50;58;16;15;9;0;7;2;2;5;1;0;0;0;1;0;0;0;1;4;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
310;St�dt. Kiga Helmholtzstr. 49  ;597;84;0;681;328;4;3;325;88;44;61;52;20;16;9;3;4;2;0;8;4;2;0;0;1;0;1;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;3;1;0
311;Grundschule Alt-B�ckingen Pavi;975;157;1;1133;497;2;7;490;114;81;131;61;29;30;11;2;2;9;0;5;2;1;1;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;4
312;B�rgerhaus B�ckingen, Kl. Saal;642;48;0;690;257;2;3;254;42;47;47;43;11;21;6;1;4;1;1;12;4;0;0;0;0;0;0;1;2;5;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;2;0;1
313;Grundschule Alt-B�ckingen Pavi;995;168;0;1163;497;2;4;493;112;102;115;72;32;7;16;3;6;7;0;5;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;1;3;2
314;B�rgerhaus B�ckingen, Kl. Saal;677;64;0;741;314;0;3;311;71;48;58;52;17;15;11;2;0;3;0;12;1;0;0;0;0;0;5;2;0;0;0;0;2;0;2;0;0;0;0;3;0;0;1;0;0;0;0;6
315;Petrus-Gemeindehaus, Gr. Saal ;783;150;0;933;421;0;9;412;112;81;76;48;30;17;8;7;7;3;2;6;2;0;0;1;0;0;0;1;0;2;0;1;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;3
316;Petrus-Gemeindehaus, Kl. Saal ;647;60;0;707;274;1;3;271;53;72;40;33;20;19;1;3;3;4;1;6;0;0;0;2;1;0;0;0;0;5;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;2
401;Ev. Gemeindeb�ro, Clubraum    ;758;86;0;844;385;0;2;383;99;80;51;63;22;14;24;2;3;2;2;5;0;3;0;0;0;0;0;0;0;3;0;0;3;0;0;1;0;0;1;1;0;2;0;0;0;1;0;1
402;St�dt. Ki.garten Feurerstr. 31;951;128;0;1079;520;1;4;516;123;89;95;74;46;19;7;3;9;5;5;16;3;0;1;1;0;0;1;1;0;1;0;1;5;0;2;1;0;0;0;0;1;1;0;0;1;1;2;2
403;Neckarhalle, Foyer A          ;746;88;0;834;307;0;5;302;63;52;43;53;18;15;18;4;4;1;1;9;1;0;1;0;0;0;0;1;0;10;0;0;2;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1
